Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
14-3-3 protein gamma  ,XP_048680435.1,YWHAG,28,1.3498,1.017,4.0554,0,0,0,0,1.0098,0.952,0,0,0.96636,0,0,0,0,0,0,0,1.0703,0,0,0,0,0.97128,0,1.095,0,0,0.95442,0,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fibrinogen-like protein 1  ,XP_048704628.1,FGL1,40,0,0,0.86394,1.007,1.091,1.0118,1.0037,0,1.904,0,0,0.96636,0,0,1.972,1.8642,1.0811,1.0389,3.2463,0,0,1.0331,0,2.1223,0,2.0245,0,1.0224,0,0,2.1701,0,0,1.0151,0.96538,1.9679,0,0.95565,1.981,0.95059,1.0451,0,1.0064,0.99645,1.9807,0,1.0278,0
fibrinogen-like protein 1 isoform X4  ,XP_048704126.1,FGL1,36,0.8895,0,0,1.007,1.091,0,0,0,0,0,0,0,0,1.0729,0,0.93212,0,0,0,0,0,0,0.97824,0,0,0,0,0,0,0.95442,0,0,0,0,0,0.98397,0,0.95565,0,0,0,0,0,0,0,0,2.0557,0
acidic mammalian chitinase-like  ,XP_048682453.1,CHIA,53,0,0,0,0,0,0,0,0,0,0,0,0.96636,0,0,0,0,0,0,0,1.0703,0,0,0.97824,1.0611,12.495,0,2.0125,1.0224,0.9857,0,0,0,0,0,0,0,0,0.95565,0,0,0,0,0,0,0,0,0,1.0365
Cluster of lamin isoform X1  ,XP_048684888.1 ,LMNA,74,5.337,0,6.0476,0,0,2.0235,0,0,0,0,0,2.8991,0,0,0,1.8642,0,0,4.3284,0,0,0,0,0,0.89251,0,0,0,0,0,1.0851,1.9387,0,0,0.96538,0,1.034,0,0,0,0,0,0,0,0,0,0,0
N-acyl-aromatic-L-amino acid amidohydrolase  isoform X1  ,XP_048711743.1 ,ACY3,37,0.8895,0,0.86394,0,3.2729,0,0,1.0098,0,0,0,0,0,0,0,0,1.0811,0,3.2463,3.211,0,2.0662,1.9565,0,0.89251,0,1.0062,0,0.9857,0.95442,0,0.96933,0,0,0,0,0,0,0.99048,0,0,0,0,0,0,0,1.0278,1.0365
chondroadherin  ,XP_048673924.1,CHAD,41,2.6685,3.0511,0,1.007,1.091,1.0118,2.0075,0,0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0611,0,1.0122,3.0187,0,0,0,3.2552,0,1.9687,1.0151,0,0,0,0,0,0,0,0.99568,0,0,0,0,0,0
talin-2  ,XP_048722468.1 ,TLN2,274,0.60903,0.17409,0.44365,0,0,0.17319,0,0,0,0,0,0.49624,0.34843,0,0.16877,0.47866,0,0,0.55568,0,0,0,0,0,0,0,0.17224,0,0,0.16337,0.18573,0,0,0,0.33049,0,0,0,0,0,0,0.17043,0.17227,0,0.16952,0,0,0
fascin  ,XP_048722971.1,FSCN1,55,1.779,1.017,3.4558,1.007,1.091,1.0118,0,0,0,0,0,1.9327,1.0178,1.0729,0,0.93212,0,0,2.1642,0,0,0,0,0,0,0,2.0125,0,0,0.95442,0,0,0,0,0.96538,0.98397,1.034,0,0,0,0,0.99568,0,0,0,0,0,0
GDH/6PGL endoplasmic bifunctional protein  ,XP_048680554.1 ,H6PD,89,0,0,0,0,0,0,0,10.098,0,0,0,0,0,0,0,0,1.0811,0,0,0,0,0,0,0,8.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6047,0,0,0,0,0,0,0,0
"aspartate aminotransferase, mitochondrial  ",XP_048673167.1,GOT2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8518,0,0,0,0,0,0,0,0
Cluster of tropomyosin alpha-1 chain isoform X20  ,XP_048722299.1 ,TPM1,29,4.8258,0,3.8233,2.2955,0.30499,0,2.2881,0,0,0,0,0.96636,0,0,0,0,0,0,0,1.3695,0,0,0,0,1.142,0,1.0062,0,0,0,0,1.2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of mannan-binding lectin serine protease 1 isoform X3  ,XP_048721451.1 ,MASP1,78,0,0,0,0,1.091,0,0,0,0,0,0,0.96636,0,1.0729,0,0.93212,0,1.0389,0,0,0,0,0,0,0.89251,0,0,0,0,0.95442,0,0,0,1.0151,0.96538,0,0,0.95565,1.981,0,0,0,1.0064,0.99645,0.99034,1.0878,0,2.0729
calmodulin-3  ,XP_048688993.1 ,CALM3,17,1.779,0,1.7279,0,0,1.0118,0,1.0098,0.952,0,1.0332,0.96636,0,0,0,1.8642,0,0,0,0,0,1.0331,0.97824,0,0,0,0,0,0,0.95442,0,0.96933,0,0,0.96538,0,0,0,1.981,0,1.0451,0.99568,0,0,0.99034,0,0,1.0365
Cluster of myosin-7B isoform X2  ,XP_048676615.1 ,MYH7B,224,2.165,1.017,4.8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6755,0,0,0,0,1.5267,0,0,0,0,0,0,2.8351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-3-3 protein beta/alpha  ,XP_048676809.1 ,YWHAB,28,2.391,0,3.3891,0,1.219,1.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12162
serotriflin-like  ,XP_048701701.1,CRISP2,27,0,0,0.86394,0,1.091,1.0118,0,1.0098,0.952,0,1.0332,0.96636,0,0,0,0.93212,1.0811,1.0389,1.0821,1.0703,0.96441,2.0662,0.97824,1.0611,0.89251,1.0122,1.0062,0,0,0,1.0851,0,0,1.0151,0.96538,0.98397,0,0,0,1.9012,0,0,1.0064,0,0,0,1.0278,1.0365
fibrillin-1 isoform X1  ,XP_048723723.1 ,FBN1,312,0.8895,1.017,0.86394,0,1.091,1.0118,0,0,0,0,0,0,0,2.1458,0,0,0,0,0,0,0,0,0,0,0,1.0122,0,0,0,0,0,0,0,1.0151,0,0,0,0,0,0,1.0451,0,0,0,0,1.0878,0,0
complement C1q tumor necrosis factor-related protein 3 isoform X1  ,XP_048707199.1,C1QTNF3,34,0,0,0.86394,0,0,0,1.0037,0,1.904,0,0,0.96636,0,0,0,0,0,0,1.0821,0,0,0,0,1.0611,0,1.0122,0,0,0.9857,2.8633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of LIM domain-binding protein 3 isoform X10  ,XP_048712725.1 ,LDB3,78,3.9788,1.017,4.7285,2.014,2.182,0,3.4861,1.0098,0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95442,0,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of glutathione S-transferase-like  ,XP_048701277.1 ,GSTA3,26,0,0,0.36923,0,0,0,0.42898,0.43156,0.40686,0,0,0,0,0,0,0,0,0,0.46247,0.45743,0.41217,0,0.41808,0,3.6238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-type lectin-like  ,XP_048682900.1 ,REG4,20,0,0,2.5918,0,2.182,3.0353,1.0037,1.0098,0,0,0,2.8991,0,0,0,0,0,1.0389,3.2463,0,0.96441,0,0,1.0611,0,3.0367,0,1.0224,0,0.95442,4.3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOW QUALITY PROTEIN: BTB/POZ domain-containing protein KCTD12  ,XP_048708491.1,KCTD12,35,2.5117,0,1.7279,0,0,2.857,0,0,0,0,0,2.7288,0,0,0,0,0,0,3.0556,0,0.96441,0,0,0,2.6775,0,0,0,0,2.6951,0,1.9387,0,0,0,0,0,0,0,0,0,0,0,0,0.99034,0,0,0
LOW QUALITY PROTEIN: glutathione S-transferase-like  ,XP_048701281.1,GSTA5,25,1.779,0,0.21424,0,1.091,1.0118,1.2527,0.25041,1.1881,0,0,0,0,0,0,0,0,0,1.3505,0.26542,0.23916,0,2.1991,0,2.0214,0,1.0062,0,0,0.95442,0,0,0,0,0,0,0,0,0,0,0,0,1.0064,0,0,0,0,0
cadherin-5  ,XP_048672747.1,CDH5,87,0,1.017,0,1.007,1.091,1.0118,1.0037,1.0098,0.952,0,0,1.9327,0,0,0,0,0,0,0,1.0703,0.96441,1.0331,0,1.0611,0.89251,2.0245,4.025,1.0224,0,0.95442,1.0851,1.9387,0.98437,1.0151,0.96538,0,0,0.95565,0.99048,0,0,0,0,0,0,0,0,0
cell adhesion molecule 1 isoform X1  ,XP_048683299.1 ,CADM1,51,0,0,0,1.007,1.091,0,1.0037,0,0,0,0,0,0,1.0729,0,0,0,1.0389,0,1.0703,0,0,0,1.0611,0,0,1.0062,0,0,0.95442,2.1701,0,0,1.0151,0.96538,0.98397,0,0,0,0,0,0,0,0,0,0,0,0
apolipoprotein A-V  ,XP_048683329.1,APOA5,43,1.779,2.0341,0.86394,1.007,1.091,1.0118,1.0037,0,0,0,0,0,0,0,0.98599,0,0,0,0,1.0703,0,2.0662,0.97824,1.0611,0,2.0245,1.0062,1.0224,0.9857,1.9088,3.2552,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0278,0
uncharacterized protein LOC125631118 [cathelicidin antimicrobial peptide preproprotein],XP_048693292.1,CAMP,34,1.779,0,1.7279,0,1.091,0,1.0037,1.0098,0,0.96978,0,0.42205,0,0,0,0,1.5532,0,0,0,1.3856,1.0331,0.97824,0,4.8523,0,1.0062,1.0224,0.9857,0.95442,0,0.96933,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0.45268
alpha-aminoadipic semialdehyde dehydrogenase  ,XP_048706494.1,ALDH7A1,59,0.8895,0,0,1.007,1.091,0,0,1.0098,0,0,0,0,0,0,0,0.93212,0,0,1.0821,0,0.96441,0,0,1.0611,8.9251,0,0,1.0224,0.9857,0,1.0851,0.96933,0.98437,0,0,0,0,0.95565,0,0,0,0,0,0,0,0,0,0
heat shock protein HSP 90-alpha  ,XP_048708142.1,HSP90AA1,84,1.2828,0.44967,2.1099,0,0,1.0118,0.4438,0,0.42092,0,0,0.42727,0,0,0,0,0,0,0,0,0.42641,0.45679,0,0,1.785,0,0,0,0,0,0,0.42858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose-1,6-bisphosphatase 1  ",XP_048707192.1,FBP1,37,0.59194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beta-2-glycoprotein 1-like  ,XP_048688432.1,APOH,57,0,0,0,1.007,0,1.0118,1.0037,0,0,0,0,0,0,0,0,0,0,0,1.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98437,0,0.96538,0,2.068,0,0,1.9012,0,0.99568,1.0064,1.9929,1.9807,0,0,0
tropomyosin beta chain isoform X8  ,XP_048690628.1 ,TPM2,29,4.0864,2.0341,4.4098,2.014,1.091,1.0118,1.0037,0,0,0,0,0,0,0,0,0,0,0,0,2.1406,0,0,0,0,1.785,0,0,0,0,0.95442,0,1.9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cofilin-2 isoform X1  ,XP_048708272.1 ,CFL2,19,3.2286,2.0341,3.1358,1.6411,0,0.63707,3.6432,1.6456,0.952,0,0,0,0,0,0,0,0,0,0.68136,0,0.60725,0,0,0,0,1.0122,0,0,0,0.60096,0,1.5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat shock protein HSP 90-beta  ,XP_048699472.1,HSP90AB1,83,2.2752,1.5844,5.6656,0,0,1.0118,0.55994,0,0.53108,0,0,0.53909,0,0,0,0,0,0,1.0821,0,0.538,0.57633,0,0,0.89251,0,0,0,0,0,0,0.54075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myoglobin  ,XP_048688771.1 ,MB,18,4.4475,2.0341,6.0476,0,0,0,4.015,5.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glutathione S-transferase P  ,XP_048709678.1,GSTP1,24,2.6685,1.017,3.4558,1.007,0,1.0118,1.0037,2.0196,0,0,0,0.96636,0,0,0,0,0,0,1.0821,1.0703,0,0,0,1.0611,1.785,1.0122,1.0062,1.0224,0.9857,0.95442,1.0851,0,0,0,0.96538,0,0,0,0,0,1.0451,0,0,0,0,0,0,0
phosphatidylethanolamine-binding protein 1  ,XP_048676841.1,PEBP1,21,1.779,1.017,4.3197,1.007,2.182,1.0118,3.0112,1.0098,0.952,0,0,0.96636,0,0,0,0.93212,0,0,1.0821,0,0.96441,0,0,0,0.89251,0,0,0,0,0,0,0.96933,0,0,0.96538,0,0,0,0.99048,0,0,0,0,0,0,0,0,0
flavin reductase   ,XP_048688870.1,BLVRB,28,2.6685,2.0341,3.4558,0,0,3.0353,1.0037,2.0196,0,0,0,0.96636,0,0,0,0,0,0,3.2463,0,0,2.0662,0.97824,0,2.6775,0,0,0,0,0.95442,0,0,0,0,1.9308,0,0,0,0,0,0,0,0,0,0,0,0,0
CD109 antigen isoform X1  ,XP_048701871.1,CD109,162,0.8895,0,1.7279,1.007,2.182,0,0,1.0098,1.904,0,0,0.96636,0,1.0729,0,0,0,0,0,0,0.96441,1.0331,0.97824,0,0.89251,0,1.0062,0,0,0.95442,0,0.96933,0,0,0,0,0,0,0,0,0,0.99568,0,0,0,0,0,1.0365
myosin light polypeptide 6 isoform X1  ,XP_048688000.1,MYL6,17,2.6685,0,1.7279,0,0,1.0118,0,0,0,0,0,1.9327,1.0178,0,0,0,0,0,2.1642,2.1406,0,0,0,0,0.89251,0,0,0,0,0,0,3.8773,0,0,0,0,2.068,0,0,0,0,0,0,0.99645,1.9807,0,2.0557,0
tropomyosin beta chain isoform X1  ,XP_048690619.1 ,TPM2,33,2.9702,1.017,3.3081,1.7325,0.78598,1.0118,1.7269,0,0,0,0,0,0,0,0,0,0,0,1.0821,1.8414,0,0,0,0,1.5355,0,0,0,0,0,0,1.6677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of isocitrate dehydrogenase  cytoplasmic  ,XP_048725268.1 ,IDH1,47,1.779,0,5.1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
14-3-3 protein eta  ,XP_048678267.1,YWHAH,28,0,0,0.12094,0,0,1.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ornithine transcarbamylase, mitochondrial  ",XP_048720200.1,OTC,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6541,0,0,0,0,0,0,0,0
alcohol dehydrogenase 1-like  ,XP_048702577.1,ADH1C,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advanced glycosylation end product-specific receptor-like isoform X1  ,XP_048676505.1,FCRL5,68,0,0,0.86394,1.007,1.091,1.0118,0,1.0098,0.952,0.96978,0,0,0,0,0,0.93212,1.0811,0,0,1.0703,0.96441,1.0331,0.97824,0,0.89251,0,2.0125,1.0224,0.9857,0.95442,1.0851,0.96933,0.98437,0,0,0,0,0,0,2.8518,0,0,0,0,0,0,0,0
complement receptor type 1-like isoform X2  ,XP_048682993.1,CR1,72,0.8895,0,0,1.007,1.091,0,0,1.0098,0.952,0,0,0.96636,0,0,0,0,0,0,1.0821,2.1406,0.96441,1.0331,0.97824,0,0,0,1.0062,1.0224,1.9714,0.95442,0,0,0,0,0,0,0,0,0,0,1.0451,0,0,0,0,0,0,0
cadherin-13 isoform X1  ,XP_048673095.1,CDH13,78,0,0,0,0,0,0,1.0037,2.0196,0.952,0,0,0,0,0,0,0,0,0,1.0821,1.0703,0,0,0,0,0.89251,0,0,0,0,0.95442,1.0851,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"creatine kinase U-type, mitochondrial  ",XP_048723318.1,CKMT1A,47,0.046893,0.98558,0.88277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0372,0,0,0,0,0.86491,0,0.97513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of histone H2A.J-like  ,XP_048689253.1 ,H2AC20,14,0,0,0,0,1.091,5.0588,0,0,0,0,0,1.9327,1.0178,0,0,0,1.0811,0,4.3284,0,0,0,0,1.0611,0,1.0122,0,0,0,0,1.0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bleomycin hydrolase isoform X1  ,XP_048680079.1 ,BLMH,53,3.558,0,4.3197,0,0,0,3.0112,0,0,0,0,0.96636,0,0,0,0,0,0,0,0,0,0,0,0,4.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of LOW QUALITY PROTEIN: ribonuclease-like  ,XP_048676726.1 ,ANG,16,0,0,0.86394,0,1.091,2.0235,0,0,0,0.96978,0,1.9327,0,0,0,0,0,1.0389,0,1.0703,1.9288,0,0,1.0611,1.785,0,1.0062,0,0,0.95442,2.1701,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myeloperoxidase  ,XP_048679874.1,MPO,79,0,0,0,0,1.091,0,0,0,0.952,0,0,2.8991,0,0,0,0,2.1622,0,1.0821,0,0.96441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0365
retinoic acid receptor responder protein 2 isoform X1  ,XP_048698099.1,RARRES2,34,0,0,0,0,0,0,0,2.0196,0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of rab GDP dissociation inhibitor beta  ,XP_048692709.1 ,GDI2,51,2.6685,1.017,6.0476,1.007,2.182,2.0235,2.0075,0,0,0,0,0,0,0,0,0,0,0,4.3284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of A disintegrin and metalloproteinase with thrombospondin motifs 13 isoform X1  ,XP_048679217.1 ,ADAMTS13,176,0,0,0.86394,0,0,0,0,0,0,0,0,0,0,1.0729,0,0,0,0,0,0,0,0,0,1.0611,0,0,0,1.0224,0,0,0,0,0.98437,0,0.96538,0,0,0,1.981,0,0,0,2.0129,0,0,0,0,0
LIM and SH3 domain protein 1  ,XP_048686446.1,LASP1,30,1.779,2.0341,0.86394,1.007,2.182,1.0118,0,0,0,0,0,0.96636,0,0,0,0,0,0,1.0821,1.0703,0.96441,0,0,0,0,0,2.0125,0,0,0.95442,0,0,0,0,0,0,0,0,0,0,0,0,1.0064,0,0,0,0,0
histone H1-like  ,XP_048691329.1 ,H1-3,22,0,0,0,0,1.091,2.0235,0,0,0.63534,0,0,1.9327,0,0,0,0,0,0.69336,3.9685,0,0,0,0,0,0,0,0,0,0,0,2.1701,0,0,1.0151,0,0.98397,0,0,0,0,0,0,2.0129,0,0,1.0878,0,0
"glycerol-3-phosphate dehydrogenase , cytoplasmic isoform X1  ",XP_048687603.1 ,GPD1,38,3.558,0,5.1837,1.007,0,0,6.0225,5.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heterochromatin-associated protein MENT-like isoform X1  ,XP_048695676.1,SERPINB10,47,0,0.63954,3.1351,0,0,0,0,0.63498,0,0,0,0,0,0,0,0,0,0,0,0.67305,0,0,0,0,1.4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desmoglein-2  ,XP_048696483.1,DSG2,127,2.6685,1.017,0.86394,0,1.091,1.0118,4.015,1.0098,0,0,0,0,0,0,0.98599,0,1.0811,0,0,1.0703,0,0,1.9565,0,0,0,0,1.0224,0,0,0,0,0.98437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of elongation factor 1-alpha 2  ,XP_048675767.1 ,EEF1A2,51,0.8895,0,5.1837,1.007,0,0,2.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purine nucleoside phosphorylase isoform X1  ,XP_048675384.1 ,PNP,32,0.8895,0,2.5918,0,0,0,0,1.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0,1.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"phosphoenolpyruvate carboxykinase , mitochondrial  ",XP_048676066.1,PCK2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTP--glucose-1-phosphate uridylyltransferase isoform X1  ,XP_048698640.1,UGP2,68,0.8895,0,5.1837,0,0,0,1.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glutathione S-transferase Mu 1-like isoform X2  ,XP_048682634.1,GSTM1,26,3.558,1.017,6.6296,0,0,0,2.6836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97824,0,0.89251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insulin-like growth factor-binding protein 2  ,XP_048725560.1,IGFBP2,33,0.8895,0,0,0,1.091,1.0118,0,0,0.952,0.96978,0,0,0,0,0,0,0,1.0389,1.0821,0,0.96441,0,0.97824,0,2.6775,0,1.0062,0,0.9857,0,0,0,0,1.0151,0.96538,0,0,0.95565,0.99048,0.95059,1.0451,0,0,0,0,0,1.0278,0
tripartite motif-containing protein 72  ,XP_048709746.1 ,TRIM72,54,3.558,0,6.0476,0,0,0,1.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-hydroxyphenylpyruvate dioxygenase  ,XP_048677938.1 ,HPD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
hypoxanthine-guanine phosphoribosyltransferase  ,XP_048720385.1,HPRT1,25,0.8895,2.0341,1.7279,1.007,2.182,1.0118,1.0037,0,0.952,0,0,0,0,0,0,0,0,0,1.0821,0,0,0,0,0,1.785,0,0,0,0,0.95442,1.0851,0.96933,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
LOW QUALITY PROTEIN: platelet glycoprotein Ib alpha chain-like  ,XP_048708957.1,GP1BA,67,0,0,0.86394,0,0,0,1.0037,0,0,0,0,0,0,0,0.98599,1.8642,0,0,0,0,0.96441,0,0,0,0,0,0,0,0,0,1.0851,0,0.98437,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
protein disulfide-isomerase A3  ,XP_048721961.1,PDIA3,56,0.8895,0,0,0,1.091,2.0235,0,0,0,0,0,0,0,0,0,0,0,0,1.0821,1.0703,0,0,0.97824,0,5.355,0,0,0,0,0,0,0.96933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epididymal sperm-binding protein 1-like  ,XP_048688566.1,ELSPBP1,44,0.8895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0821,1.0703,0,0,0.97824,0,0,2.0245,0,0,0,0,0,0,0.98437,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
alcohol dehydrogenase class-3  ,XP_048702632.1,ADH5,40,0.8895,0,1.7279,0,1.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mannose-binding protein-like  ,XP_048714824.1,MBL2,27,0,0,0.86394,1.007,0,0,1.0037,0,0.952,0.96978,1.0332,0,0,0,0,0.93212,1.0811,1.0389,0,1.0703,0.96441,0,0,0,1.785,1.0122,1.0062,0,0,0.95442,0,0.96933,0.98437,0,0,0,0,0,0,0.95059,0,0,1.0064,0,0.99034,0,0,0
fermitin family homolog 3 isoform X1  ,XP_048715367.1 ,FERMT3,76,0.8895,0,0,0,0,0,0,0,0,0,1.0332,2.8991,0,0,0,0.93212,0,0,2.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96538,0,0,0,0,0,0,0.99568,0,0.99645,0,0,0,0
chitotriosidase-1-like  ,XP_048682685.1,CHIT1,54,0,0,0,0,0,0,0,1.0098,0,0.96978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95442,0,0,0,0,0,0,0,0,0,9.5059,0,0,0,0,0,0,0,0
adenylyl cyclase-associated protein 1  ,XP_048681743.1 ,CAP1,51,0,1.017,2.5918,0,0,1.0118,0,0,0,0,0,0.96636,0,0,0,0.93212,0,0,1.0821,1.0703,0,0,0,0,0.89251,0,1.0062,0,0,0.95442,1.0851,0,0,0,0.96538,0,0,0,0,0,0,0,1.0064,0.99645,0,0,0,0
trypsin-2  ,XP_048677874.1,PRSS2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987,1.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"peroxiredoxin-5, mitochondrial  ",XP_048715405.1,PRDX5,23,1.779,0,0.86394,1.007,0,2.0235,1.0037,1.0098,0,0,0,0.96636,0,0,0,0,0,0,0,1.0703,0.96441,0,0,0,0.89251,0,1.0062,0,0,0.95442,0,0,0,0,0,0.98397,0,0,0,0,0,0,0,0,0,0,0,0
LOW QUALITY PROTEIN: serpin B3-like  ,XP_048695686.1,SERPINB4,46,0,0,0,0,0,0,0,0,0,0.58165,0,0,0,0,0,0,0,0,0,0,0.57842,0,0,0,1.4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of dihydropyrimidinase  ,XP_048697417.1 ,DPYS,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95059,0,0,0,0,0,0,0,0
Cluster of PDZ and LIM domain protein 5 isoform X9  ,XP_048703006.1 ,PDLIM5,91,2.2476,0,3.911,0,1.091,0,2.5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate hydratase, mitochondrial  ",XP_048695314.1,FH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8024,0,0,0,0,0,0,0,0
